Index; CenterX; CenterY; CenterZ; NormalX; NormalY; NormalZ; RMS; Horiz_ext; Vert_ext; Surf_ext; Surface; Dip dir.; Dip; Family ind.; Subfamily ind.; 
2076;121.704;82.2504;88.1212;0.921785;0.353071;0.160168;0.0699991;5.22042;4.56116;23.8112;11.8867;69;80;0;0;
2075;103.498;105.025;87.3028;0.682925;0.636001;-0.359328;0.0759305;4.90789;5.25097;25.7712;9.89634;227;68;0;0;
2074;121.479;82.3353;89.9345;0.633655;0.753837;-0.173814;0.0333789;0.787432;0.337202;0.265524;0.251314;220;79;0;0;
2073;112.563;92.7719;90.7361;0.517034;0.642292;-0.565805;0.0421707;1.58162;2.01524;3.18735;1.66048;218;55;0;0;
2071;107.988;103.064;93.234;0.0438972;0.754676;-0.654628;0.0288535;0.401808;0.883285;0.354912;0.301677;183;49;0;0;
2069;105.319;105.829;92.1887;0.936528;-0.0161897;-0.350218;0.0405246;1.10394;1.0371;1.1449;0.669997;270;69;0;0;
2065;112.547;91.6512;87.5647;0.913718;0.390645;-0.11188;0.0528673;1.26844;1.26717;1.60733;0.471801;246;83;0;0;
2064;98.2917;114.716;85.3401;0.709623;0.320879;-0.627274;0.0534177;4.16948;2.41208;10.0571;3.98821;245;51;0;0;
2063;120.96;83.0118;86.1811;-0.483983;-0.506545;0.713563;0.0427945;3.07877;2.10467;6.4798;3.17475;223;44;0;0;
2062;127.408;77.315;88.9701;-0.155035;-0.647511;0.746119;0.0430307;1.34237;1.2534;1.68254;0.954965;193;41;0;0;
2061;108.948;100.042;90.074;0.909003;0.411936;0.0634228;0.0415815;1.36321;1.53581;2.09362;1.39292;65;86;0;0;
2060;116.034;86.8212;86.1193;0.612973;0.658598;-0.436478;0.0657604;2.33204;1.66448;3.88162;1.75097;222;64;0;0;
2059;98.2871;116.461;86.3708;0.51126;0.79598;-0.324083;0.0441078;0.644993;1.01769;0.656406;0.491087;212;71;0;0;
2058;99.1368;113.167;87.7097;0.903144;0.372735;-0.21307;0.0426218;1.18394;0.885898;1.04885;0.784765;247;77;0;0;
2057;107.571;102.166;91.921;0.128432;0.987955;-0.0863154;0.0603899;1.39664;1.0025;1.40013;0.746576;187;85;0;0;
2056;132.797;73.6543;87.8497;-0.168425;-0.532406;0.829564;0.0374976;1.43158;0.846611;1.21199;0.761763;197;33;0;0;
2055;114.473;90.5324;87.2612;0.596285;0.570017;-0.565266;0.0264479;0.92248;0.823404;0.759574;0.408448;226;55;0;0;
2053;115.391;88.8093;89.0748;0.981891;0.108444;0.15534;0.0638789;2.93622;3.11626;9.15002;3.93993;83;81;0;0;
2050;124.702;79.576;88.4839;-0.0511795;0.997485;0.0490266;0.0514584;1.44584;1.03929;1.50265;0.809337;357;87;0;0;
2049;110.388;96.1405;88.7789;0.924705;0.337684;-0.175754;0.0685408;5.63003;3.44735;19.4087;7.37119;249;79;0;0;
2047;126.468;79.3298;90.6863;0.364134;0.615867;-0.698651;0.0581973;2.36029;2.47684;5.84606;2.44629;210;45;0;0;
2046;115.476;90.4157;90.8792;-0.390154;-0.534027;0.750064;0.0491927;1.60493;1.0206;1.638;0.838906;216;41;0;0;
2044;116.654;87.0667;89.4316;-0.0850319;0.885261;0.457255;0.0323041;0.77036;1.16501;0.897478;0.558952;354;62;0;0;
2039;104.307;104.088;87.603;0.759974;0.632568;-0.149323;0.068233;2.68512;1.70459;4.57703;2.03449;230;81;0;0;
2038;126.225;78.3593;88.2404;0.896245;0.443553;0.00249351;0.0943737;3.19001;4.50883;14.3832;6.06626;63;89;0;0;
2034;131.697;74.4396;88.9787;-0.240533;-0.607461;0.757057;0.0630045;3.04867;1.64144;5.00422;1.59149;201;40;0;0;
2033;109.776;94.9824;85.7797;0.719604;0.441456;-0.535991;0.0573047;3.9686;1.80272;7.15427;3.21669;238;57;0;0;
2029;113.296;91.1611;87.6297;0.383308;0.687972;-0.616254;0.0407909;1.55511;1.28798;2.00294;1.22736;209;51;0;0;
2028;104.779;102.325;85.3759;-0.45754;-0.397852;0.795217;0.0363814;3.37262;1.53932;5.19154;2.33385;228;37;0;0;
2027;117.788;86.4841;90.1592;-0.0529796;0.872341;0.486018;0.0222419;1.09546;0.913584;1.00079;0.620525;356;60;0;0;
2026;125.042;79.7799;89.4895;0.0657932;0.994058;0.0867135;0.0526219;1.68484;1.21181;2.0417;0.952055;3;85;0;0;
2025;116.597;89.3828;91.113;0.697034;0.58501;0.414617;0.0424808;2.06506;1.16277;2.40118;1.31449;49;65;0;0;
2024;114.698;89.6904;87.6737;0.980932;0.144127;0.130386;0.0492801;4.42844;4.96419;21.9836;5.6876;81;82;0;0;
2022;105.593;101.644;86.3016;0.892398;0.418068;0.169839;0.0718042;4.26517;1.92316;8.20259;4.01697;64;80;0;0;
2019;106.805;99.4167;86.0197;0.717103;0.666997;-0.202184;0.044493;1.74034;1.70539;2.96795;1.26286;227;78;0;0;
2017;119.589;85.7224;90.496;0.40637;0.651457;-0.640676;0.0419365;2.29388;1.53646;3.52444;1.43839;211;50;0;0;
2016;112.339;91.1458;86.6631;0.590382;0.727936;-0.348653;0.0514913;1.55631;1.18532;1.84471;1.02395;219;69;0;0;
2015;99.5988;111.873;85.6997;0.687106;0.414412;-0.596782;0.0358692;0.925423;0.861314;0.79708;0.398431;238;53;0;0;
2011;109.775;98.3912;92.6556;0.626224;0.41892;-0.657533;0.0393953;0.710406;0.978155;0.694887;0.36725;236;48;0;0;
2010;114.107;93.9569;92.6901;-0.365639;-0.216695;0.90518;0.0196656;1.95233;1.01613;1.98381;0.933487;239;25;0;0;
2009;128.993;76.3117;87.8272;0.222072;0.882598;-0.414372;0.054592;0.999883;1.63307;1.63288;0.827118;194;65;0;0;
2006;130.694;76.2472;90.7641;0.133342;0.489845;-0.861552;0.0674084;2.61624;2.26825;5.93427;1.30588;195;30;0;0;
2005;121.664;82.5786;87.978;0.884527;0.432261;-0.175391;0.0407455;0.761948;0.394993;0.300964;0.281041;243;79;0;0;
2002;101.614;108.994;89.3175;0.972541;0.229536;0.0384404;0.0543846;3.37204;2.95768;9.97343;4.50106;76;87;0;0;
2000;100.345;110.342;87.4025;0.949884;0.292924;-0.109161;0.0665778;1.7622;3.55403;6.2629;2.56806;252;83;0;0;
1995;135.523;71.6108;89.7112;0.366242;0.835187;-0.410279;0.0566714;2.68888;3.54293;9.52652;4.23782;203;65;0;0;
1993;119.271;84.356;86.4711;0.728107;0.680957;-0.0784767;0.0366125;0.979032;0.583365;0.571133;0.543441;226;85;0;0;
1992;103.425;106.379;89.5021;0.82231;0.398768;-0.405944;0.0517151;0.977764;1.9057;1.86332;0.782686;244;66;0;0;
1991;116.72;87.4058;90.4122;0.99375;0.032993;0.106644;0.0568371;1.95901;1.84582;3.61596;0.971444;88;83;0;0;
1987;114.397;92.0424;91.3496;0.955189;0.269818;0.121708;0.048293;4.51452;2.36038;10.656;2.37212;74;83;0;0;
1985;102.319;110.64;92.2785;0.862306;-0.0410133;0.504724;0.028725;0.982147;1.54709;1.51947;0.787988;92;59;0;0;
1983;115.949;91.2566;92.263;-0.292115;-0.285491;0.912778;0.0406455;2.18235;1.84472;4.02584;1.82233;225;24;0;0;
1982;114.791;92.1062;92.2204;-0.251989;-0.513807;0.820063;0.0267478;1.75693;1.00214;1.76068;0.737203;206;34;0;0;
1981;106.399;104.932;93.1983;-0.533224;-0.304739;0.789181;0.0505293;2.89918;1.81832;5.27164;2.64565;240;37;0;0;
1976;123.702;79.4691;86.5033;0.118427;0.989859;0.078444;0.0474946;1.13911;1.71962;1.95883;1.13776;6;85;0;0;
1974;112.289;92.1941;88.5527;0.857709;0.447626;-0.252914;0.0426894;0.605879;0.610187;0.369699;0.254741;242;75;0;0;
1973;98.6815;113.623;86.6533;0.720193;0.0921812;0.687623;0.0330728;0.668611;0.481442;0.321897;0.272216;82;46;0;0;
1972;119.848;84.4234;88.1987;0.903573;0.39772;0.159292;0.0535657;2.14002;2.46339;5.27172;2.3092;66;80;0;0;
1970;98.8416;114.102;87.516;0.922459;-0.191982;-0.334982;0.0565533;1.13247;1.53527;1.73864;1.1059;281;70;0;0;
1969;105.285;100.707;85.218;0.108431;-0.265288;0.958053;0.0309684;0.823982;0.707722;0.58315;0.358522;157;16;0;0;
1967;130.309;75.188;87.1651;-0.0364244;-0.632042;0.774078;0.0571446;1.76093;2.47745;4.36262;2.45184;183;39;0;0;
1963;133.754;73.3851;90.9147;-0.358019;-0.357509;0.86256;0.0707999;2.64497;1.64076;4.33977;1.72631;225;30;0;0;
1962;104.627;106.239;90.935;0.701123;0.545272;-0.459462;0.0492988;1.28444;2.0538;2.63798;1.25079;232;62;0;0;
1961;127.697;77.197;88.4213;-0.0378699;0.944546;0.326187;0.0678061;2.04905;2.40627;4.93057;1.78959;357;70;0;0;
1960;115.13;88.5996;87.5571;0.439752;0.738499;-0.511113;0.0399174;1.12813;1.39786;1.57697;0.791007;210;59;0;0;
1959;113.697;88.9472;85.4033;-0.224959;-0.176773;0.958199;0.0429425;5.67523;1.92898;10.9474;5.25895;231;16;0;0;
1958;109.118;98.7259;88.4222;0.464818;0.761813;-0.451204;0.026643;0.841414;0.622066;0.523415;0.262033;211;63;0;0;
1956;103.047;109.574;92.6575;-0.192915;-0.369764;0.908877;0.0454676;1.26709;1.71427;2.17214;1.3624;207;24;0;0;
1955;107.971;99.3272;88.0578;0.605153;0.453348;-0.65442;0.0400992;0.604376;0.898299;0.54291;0.263332;233;49;0;0;
1954;111.27;93.4933;91.215;0.231603;0.889354;-0.394221;0.0315842;0.766992;0.687306;0.527158;0.237471;194;66;0;0;
1952;124.352;81.588;91.237;-0.147431;-0.544591;0.825642;0.0348848;1.9107;0.875959;1.67369;1.05782;195;34;0;0;
1950;99.5416;115.261;89.7928;0.691107;0.634325;-0.346415;0.0303763;0.766831;0.840315;0.64438;0.370076;227;69;0;0;
1949;108.904;101.725;92.8774;0.908772;0.34684;-0.232023;0.0419597;1.11589;1.64649;1.8373;0.776426;249;76;0;0;
1948;101.039;109.665;88.3787;0.594384;0.683018;-0.424494;0.0563788;1.83961;1.48121;2.72484;1.52046;221;64;0;0;
1946;100.865;109.077;86.2615;0.845949;0.498214;-0.19014;0.07236;2.54542;2.86204;7.28509;3.23427;239;79;0;0;
1945;121.755;82.7015;90.4125;-0.384167;-0.473453;0.792627;0.0623533;2.49437;1.33226;3.32314;1.45042;219;37;0;0;
1941;128.931;75.0426;86.1266;-0.124517;-0.093147;0.987836;0.0511875;12.6666;4.70764;59.6297;9.85653;233;8;0;0;
1940;107.343;100.052;87.9192;0.969511;0.225383;0.096183;0.0333166;1.81341;1.3772;2.49744;1.24236;76;84;0;0;
1939;113.102;90.7025;86.5557;0.260648;0.961337;-0.0888484;0.0432784;0.978217;1.61589;1.58069;1.0304;195;84;0;0;
1938;117.858;84.9644;86.2405;0.833854;0.491386;0.251451;0.0267677;0.801921;0.640749;0.513829;0.356648;59;75;0;0;
1935;101.4;111.733;91.101;0.678634;0.515876;-0.522807;0.0292268;0.851828;0.560504;0.477454;0.369456;232;58;0;0;
1934;118.804;85.7361;90.0343;0.614013;0.493182;-0.616247;0.0259861;0.655529;0.648521;0.425124;0.258408;231;51;0;0;
1932;100.822;110.398;89.4284;0.42878;0.590665;-0.683566;0.0386663;1.62504;1.05552;1.71526;0.717947;215;46;0;0;
1931;100.178;108.529;84.7403;-0.197904;-0.0810168;0.976868;0.0421934;12.9698;2.37296;30.7768;12.5805;247;12;0;0;
2052;110.864;94.1543;86.9483;0.952669;0.298916;0.0554245;0.049261;7.34913;3.24078;23.8169;8.71323;72;86;0;0;
1930;106.337;98.8592;85.1239;-0.337876;-0.202043;0.919249;0.083859;5.65168;2.15189;12.1618;5.69875;239;23;0;0;
1929;99.3987;116.397;90.5071;0.559552;0.331558;-0.759586;0.0324155;1.50918;0.747882;1.12869;0.515619;239;40;0;0;
1928;99.2609;116.219;89.8114;0.971901;0.231231;-0.0440573;0.0574162;2.68393;1.82695;4.90341;1.5309;256;87;0;0;
1925;133.467;73.1648;87.712;0.957718;0.211176;-0.195398;0.0434901;0.741914;0.708854;0.525909;0.351787;257;78;0;0;
1923;101.841;109.295;90.9072;-0.593517;-0.332235;0.733047;0.0414728;2.29773;1.18781;2.72927;1.33743;240;42;0;0;
1921;124.254;80.8971;90.2116;0.997018;0.0581569;0.0507238;0.0326495;0.538671;0.58311;0.314104;0.239991;86;87;0;0;
1919;102.646;109.695;92.0495;0.863515;0.338653;0.373705;0.0350483;1.86033;1.49744;2.78573;1.6053;68;68;0;0;
1914;117.126;87.8861;91.11;-0.695151;0.534991;0.480155;0.0476448;1.07492;1.35643;1.45805;0.909953;307;61;0;0;
1911;104.485;105.612;90.2419;0.957019;0.177044;-0.229719;0.0537978;1.0055;0.727658;0.731659;0.623312;259;76;0;0;
1910;119.19;86.1422;91.037;0.07285;0.99731;0.00808005;0.0397752;1.05537;0.41667;0.43974;0.365931;4;89;0;0;
1909;98.6712;115.412;86.4965;0.937174;0.102916;-0.333335;0.0420617;1.68452;1.36121;2.29298;1.02904;263;70;0;0;
1908;117.081;85.7101;85.9728;0.588157;0.807524;-0.0444508;0.0429422;0.650466;0.68718;0.446987;0.34232;216;87;0;0;
1906;119.071;84.2319;85.8784;0.439599;0.622166;-0.647813;0.0307091;1.63874;0.772615;1.26612;0.774315;215;49;0;0;
1901;132.377;73.6399;87.2394;0.398861;0.916919;0.0130116;0.0447601;1.93132;1.18832;2.29502;1.3006;23;89;0;0;
1897;106.971;102.458;91.8645;0.373405;0.927348;0.0243687;0.0675716;1.04618;1.67715;1.7546;0.699948;21;88;0;0;
1895;115.691;89.3156;90.3454;-0.077643;-0.419027;0.904648;0.0265228;1.37178;1.76508;2.42131;1.3058;190;25;0;0;
1894;131.926;73.9468;88.1711;0.209833;0.96403;-0.163144;0.0724325;1.4497;1.30098;1.88602;0.761181;192;80;0;0;
1892;108.435;101.996;92.2452;0.614918;0.571331;-0.543559;0.034946;0.753134;1.43634;1.08176;0.535581;227;57;0;0;
1887;123.019;80.5872;88.5445;-0.0880845;-0.633372;0.768818;0.0672167;1.90497;1.85794;3.53932;1.49284;187;39;0;0;
1885;99.8409;111.546;87.3725;0.821223;0.53659;0.194072;0.0515898;1.51823;2.19225;3.32834;1.3009;56;78;0;0;
1884;120.486;83.6641;87.4655;0.337741;0.901545;0.270458;0.0396821;0.517523;0.792235;0.41;0.286357;20;74;0;0;
1881;108.936;94.9629;85.17;-0.365373;-0.0792015;0.927486;0.0572444;1.39884;1.34827;1.88602;0.620596;257;21;0;0;
1880;120.947;84.1686;90.9533;0.805854;0.310209;-0.504351;0.0707379;1.40477;1.536;2.15773;1.33874;248;59;0;0;
1878;104.252;101.759;84.9955;-0.275865;-0.164511;0.947014;0.0527449;2.28687;1.66848;3.81559;1.58099;239;18;0;0;
1876;113.974;90.5872;87.0598;-0.00203834;-0.594577;0.804036;0.0228216;0.613966;0.524101;0.32178;0.278697;180;36;0;0;
1873;102.424;106.098;86.8514;0.905867;0.179002;-0.383879;0.0366497;0.853351;0.745782;0.636414;0.4169;258;67;0;0;
1872;116.792;86.1929;87.7381;0.903573;0.322862;0.281632;0.0491902;1.08274;0.844671;0.914562;0.393885;70;73;0;0;
1871;122.372;81.1404;85.9868;0.523157;0.556376;-0.645563;0.0331633;0.724099;0.733781;0.53133;0.326347;223;49;0;0;
2054;99.657;113.094;88.4155;0.501014;0.385685;-0.774747;0.0599412;2.46165;2.57134;6.32974;2.41425;232;39;0;0;
1870;114.253;90.0081;86.1406;0.51451;0.579267;-0.632241;0.0439536;1.99725;1.60103;3.19766;1.83386;221;50;0;0;
1867;113.349;90.3445;85.7989;-0.231406;-0.536887;0.811298;0.0302137;0.74369;0.557041;0.414266;0.277348;203;35;0;0;
1866;124.069;79.441;87.6189;0.30459;0.857258;-0.41513;0.041829;2.1989;1.8592;4.08818;1.08629;199;65;0;0;
1865;108.888;96.5246;85.8805;0.968047;0.249434;-0.0258177;0.0298817;0.681445;1.37572;0.937476;0.421869;255;88;0;0;
1864;121.517;83.9143;91.6018;0.930882;0.147739;-0.334115;0.05989;1.01002;0.778682;0.786487;0.354595;260;70;0;0;
1862;108.948;98.8817;88.8944;0.888056;0.457565;-0.0446253;0.0375365;0.545724;0.543831;0.296781;0.284292;242;87;0;0;
1861;112.156;91.7061;87.2288;0.38396;0.677496;-0.627354;0.0297145;1.22864;0.876135;1.07645;0.686236;209;51;0;0;
1859;132.849;73.4611;86.8232;0.394045;0.795377;-0.460547;0.0400387;1.37295;0.813009;1.11622;0.545853;206;62;0;0;
1858;115.123;90.9474;91.1505;-0.189424;-0.633302;0.750364;0.0344742;0.835136;0.450936;0.376593;0.223831;196;41;0;0;
1857;122.882;80.1854;86.2541;0.908637;0.325575;0.261496;0.0187808;1.3976;0.968933;1.35418;0.720647;70;74;0;0;
1856;126.319;79.144;90.4227;0.125226;0.788968;-0.601538;0.0339996;0.653778;0.518212;0.338796;0.268195;189;53;0;0;
1853;109.116;100.113;90.9467;-0.324753;-0.513589;0.794205;0.0457509;1.44743;0.942566;1.3643;0.562986;212;37;0;0;
1852;107.236;99.0167;85.8939;0.499906;0.865271;0.0374253;0.0262454;0.719968;0.44745;0.322149;0.305317;30;87;0;0;
1851;128.808;75.3521;86.2165;-0.390413;-0.322199;0.862418;0.0308034;1.31994;0.61471;0.811382;0.422136;230;30;0;0;
1913;119.916;86.1019;91.2565;0.444969;0.734898;-0.511788;0.0409759;0.639735;0.715598;0.457793;0.256708;211;59;0;0;
1850;129.892;75.0566;86.8446;0.0528319;0.970664;-0.234564;0.043994;1.10583;0.972051;1.07492;0.268204;183;76;0;0;
1848;105.883;102.121;87.8376;0.385793;0.862458;-0.327611;0.0276289;0.57551;0.623079;0.358589;0.265315;204;70;0;0;
1845;111.025;98.5527;93.3487;0.422641;0.432829;-0.796262;0.0542012;0.964152;0.946808;0.912866;0.41778;224;37;0;0;
1844;107.66;98.5083;85.8964;0.944163;0.313833;-0.100322;0.0322548;0.815218;0.770581;0.628192;0.320911;251;84;0;0;
1837;114.135;91.1358;88.9606;0.69698;0.625667;-0.350372;0.0289908;0.508593;0.678118;0.344886;0.28451;228;69;0;0;
1836;99.8699;114.62;89.6551;0.815585;0.446739;-0.367758;0.0588026;1.29695;1.46271;1.89706;0.792347;241;68;0;0;
1835;101.49;106.74;84.8945;-0.209772;-0.388787;0.897129;0.0462094;0.857575;0.752468;0.645297;0.350415;208;26;0;0;
1886;130.703;75.8492;89.9386;0.96679;0.253446;0.0329091;0.0474758;0.563324;1.13318;0.638345;0.267439;75;88;0;0;
1834;110.592;96.5397;89.4881;0.858201;0.0581501;-0.510009;0.0368072;0.853458;0.647054;0.552233;0.338179;266;59;0;0;
1833;100.142;112.715;89.26;0.755932;-0.0199184;0.654347;0.0380057;1.20607;0.938354;1.13172;0.633247;91;49;0;0;
1832;129.662;76.8846;90.4714;0.63241;0.771894;0.0651023;0.0656486;1.19692;0.878741;1.05178;0.646656;39;86;0;0;
1831;99.7465;115.515;91.8241;0.734483;0.374049;-0.566235;0.0359065;1.28262;0.741464;0.951018;0.676126;243;55;0;0;
1830;107.777;98.2502;86.2618;0.86282;0.409353;0.296601;0.034843;1.57493;0.472613;0.74433;0.564711;64;72;0;0;
1829;102.377;107.67;90.6737;0.976275;0.0662767;0.206143;0.0718027;1.25123;1.33754;1.67356;0.883785;86;78;0;0;
1828;104.088;109.671;93.2267;0.753938;0.0306655;-0.656229;0.047165;1.30817;1.4701;1.92313;0.914599;267;48;0;0;
1827;112.722;93.8644;91.9669;0.171108;0.888905;-0.424934;0.0439605;1.02074;0.734526;0.749762;0.440726;190;64;0;0;
1826;134.415;72.0972;87.5824;0.335623;0.882615;0.329161;0.0301111;0.484031;0.736959;0.356711;0.24181;20;70;0;0;
1825;108.099;97.644;85.73;0.551898;0.569862;-0.608823;0.0384608;1.40699;0.916089;1.28893;0.614038;224;52;0;0;
1824;104.682;101.14;85.0383;-0.381652;0.278549;0.881335;0.0403465;0.780027;0.82108;0.640465;0.346431;306;28;0;0;
1821;118.681;85.2575;87.9517;0.0312952;0.901402;0.431851;0.0237688;2.21076;1.31216;2.90087;1.12507;1;64;0;0;
1820;100.786;109.451;87.4987;0.592632;0.803604;0.0548413;0.0450977;1.30371;0.995349;1.29764;0.579915;36;86;0;0;
1819;108.361;95.9846;85.2092;-0.112834;-0.224719;0.967869;0.0547012;1.64749;2.07276;3.41484;2.10112;206;14;0;0;
1817;118.582;84.6421;86.6193;0.064994;0.995141;0.0739619;0.0561524;1.28696;1.73185;2.22882;1.31717;3;85;0;0;
1816;117.575;86.1316;88.3737;-0.45908;-0.528158;0.714349;0.0165493;0.661159;0.715516;0.47307;0.268209;220;44;0;0;
1815;105.746;101.527;87.0915;0.57908;0.784861;-0.220587;0.0339047;0.731241;0.512448;0.374723;0.272023;216;77;0;0;
1814;105.398;102.013;87.1088;0.795077;0.494054;-0.3518;0.0334988;0.657058;0.691439;0.454315;0.298406;238;69;0;0;
1811;104.729;107.473;92.8843;0.78678;0.285745;-0.547109;0.0439901;1.58227;1.01004;1.59815;0.68519;250;56;0;0;
1809;119.845;84.6523;87.5625;0.873845;0.37471;-0.309818;0.0393361;1.41009;0.552524;0.779111;0.430388;246;71;0;0;
1863;100.811;109.317;86.7051;0.951909;0.306288;0.00761233;0.0380584;0.579131;0.496047;0.287276;0.272053;72;89;0;0;
1807;103.942;106.562;91.0503;-0.00666513;0.952548;-0.304317;0.0488329;0.529386;0.80489;0.426097;0.358714;179;72;0;0;
