No.	Trend	Plunge	Longitude	Latitude	Elevation	Units	Day	Month	Year	Notes	Label	Strabo Type	Strabo quality
0	254.2662	16.02457	0	0	0	m	29	2	2024	Calculated from planes data set: Imported Planes			0
1	251.8937	12.23629	0	0	0	m	29	2	2024	Calculated from planes data set: Imported Planes			0
2	246.0873	15.42455	0	0	0	m	29	2	2024	Calculated from planes data set: Imported Planes			0
3	252.21	14.27431	0	0	0	m	29	2	2024	Calculated from planes data set: Imported Planes			0
4	252.2487	13.99584	0	0	0	m	29	2	2024	Calculated from planes data set: Imported Planes			0
5	243.6354	10.01494	0	0	0	m	29	2	2024	Calculated from planes data set: Imported Planes			0
6	246.4127	13.62763	0	0	0	m	29	2	2024	Calculated from planes data set: Imported Planes			0
7	239.7964	12.38928	0	0	0	m	29	2	2024	Calculated from planes data set: Imported Planes			0
8	240.6943	9.458031	0	0	0	m	29	2	2024	Calculated from planes data set: Imported Planes			0
9	239.2691	10.11889	0	0	0	m	29	2	2024	Calculated from planes data set: Imported Planes			0
10	255.3003	8.172844	0	0	0	m	29	2	2024	Calculated from planes data set: Imported Planes			0
11	232.9348	18.86989	0	0	0	m	29	2	2024	Calculated from planes data set: Imported Planes			0
12	250.5909	14.7952	0	0	0	m	29	2	2024	Calculated from planes data set: Imported Planes			0
13	238.6772	16.45576	0	0	0	m	29	2	2024	Calculated from planes data set: Imported Planes			0
14	233.5246	14.83984	0	0	0	m	29	2	2024	Calculated from planes data set: Imported Planes			0
15	242.4062	15.99548	0	0	0	m	29	2	2024	Calculated from planes data set: Imported Planes			0
16	258.2591	8.31871	0	0	0	m	29	2	2024	Calculated from planes data set: Imported Planes			0
17	262.3523	9.418953	0	0	0	m	29	2	2024	Calculated from planes data set: Imported Planes			0
18	248.8995	12.50401	0	0	0	m	29	2	2024	Calculated from planes data set: Imported Planes			0
19	251.0538	12.4054	0	0	0	m	29	2	2024	Calculated from planes data set: Imported Planes			0
20	253.3562	1.150047	0	0	0	m	29	2	2024	Calculated from planes data set: Imported Planes			0
21	257.4424	1.719505	0	0	0	m	29	2	2024	Calculated from planes data set: Imported Planes			0
22	250.6524	15.55982	0	0	0	m	29	2	2024	Calculated from planes data set: Imported Planes			0
23	259.4051	2.317444	0	0	0	m	29	2	2024	Calculated from planes data set: Imported Planes			0
24	254.1644	1.03186	0	0	0	m	29	2	2024	Calculated from planes data set: Imported Planes			0
25	249.7486	9.61927	0	0	0	m	29	2	2024	Calculated from planes data set: Imported Planes			0
26	243.2805	9.598312	0	0	0	m	29	2	2024	Calculated from planes data set: Imported Planes			0
27	253.1373	9.208618	0	0	0	m	29	2	2024	Calculated from planes data set: Imported Planes			0
28	269.1695	16.71235	0	0	0	m	29	2	2024	Calculated from planes data set: Imported Planes			0
29	253.283	11.65782	0	0	0	m	29	2	2024	Calculated from planes data set: Imported Planes			0
30	245.886	12.97128	0	0	0	m	29	2	2024	Calculated from planes data set: Imported Planes			0
31	234.3076	16.45139	0	0	0	m	29	2	2024	Calculated from planes data set: Imported Planes			0
32	239.8635	13.41573	0	0	0	m	29	2	2024	Calculated from planes data set: Imported Planes			0
33	256.133	7.679985	0	0	0	m	29	2	2024	Calculated from planes data set: Imported Planes			0
34	260.9958	8.34787	0	0	0	m	29	2	2024	Calculated from planes data set: Imported Planes			0
35	256.5092	4.994392	0	0	0	m	29	2	2024	Calculated from planes data set: Imported Planes			0
36	252.9263	7.489769	0	0	0	m	29	2	2024	Calculated from planes data set: Imported Planes			0
37	232.9059	14.70424	0	0	0	m	29	2	2024	Calculated from planes data set: Imported Planes			0
