No.	Trend	Plunge	Longitude	Latitude	Elevation	Units	Day	Month	Year	Notes	Label	Strabo Type	Strabo quality
0	249	10	121.704	82.2504	88.1212	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|2076			0
1	245	4	108.948	100.042	90.074	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|2061			0
2	263	9	115.391	88.8093	89.0748	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|2053			0
3	243	1	126.225	78.3593	88.2404	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|2038			0
4	229	25	116.597	89.3828	91.113	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|2025			0
5	261	8	114.698	89.6904	87.6737	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|2024			0
6	244	10	105.593	101.644	86.3016	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|2022			0
7	256	3	101.614	108.994	89.3175	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|2002			0
8	268	7	116.72	87.4058	90.4122	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1991			0
9	254	7	114.397	92.0424	91.3496	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1987			0
10	272	31	102.319	110.64	92.2785	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1985			0
11	262	44	98.6815	113.623	86.6533	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1973			0
12	246	10	119.848	84.4234	88.1987	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1972			0
13	256	6	107.343	100.052	87.9192	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1940			0
14	239	15	117.858	84.9644	86.2405	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1938			0
15	252	4	110.864	94.1543	86.9483	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|2052			0
16	266	3	124.254	80.8971	90.2116	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1921			0
17	248	22	102.646	109.695	92.0495	m	24	2	2024	Calculated from planes data set: Imported Planes|Notes from planes dataset:|1919			0
