trend,plunge,dip,FS_dry,FS_sat,FS_wat_coh,Failure_dry,Failure_sat,Failure_wat_coh
47,22,68,0.28,0.13,0.3,1,1,1
38,35,55,0.49,0.32,0.51,1,1,1
65,39,51,0.57,0.39,0.59,1,1,1
43,46,44,0.73,0.52,0.75,1,1,1
42,26,64,0.34,0.19,0.36,1,1,1
46,35,55,0.49,0.32,0.51,1,1,1
36,49,41,0.81,0.59,0.84,1,1,1
58,33,57,0.45,0.29,0.48,1,1,1
48,53,37,0.93,0.7,0.96,1,1,1
39,21,69,0.27,0.12,0.29,1,1,1
58,37,53,0.53,0.35,0.55,1,1,1
56,42,48,0.63,0.44,0.66,1,1,1
59,65,25,1.5,1.17,1.55,0,0,0
64,24,66,0.31,0.16,0.33,1,1,1
45,66,24,1.57,1.23,1.62,0,0,0
60,53,37,0.93,0.7,0.96,1,1,1
45,60,30,1.21,0.93,1.25,0,1,0
52,28,62,0.37,0.21,0.39,1,1,1
51,74,16,2.44,1.93,2.51,0,0,0
47,21,69,0.27,0.12,0.29,1,1,1
41,26,64,0.34,0.19,0.36,1,1,1
39,53,37,0.93,0.7,0.96,1,1,1
53,82,8,4.98,3.98,5.13,0,0,0
52,32,58,0.44,0.27,0.46,1,1,1
35,44,46,0.68,0.48,0.7,1,1,1
67,78,12,3.29,2.62,3.39,0,0,0
59,67,23,1.65,1.29,1.7,0,0,0
59,50,40,0.83,0.62,0.87,1,1,1
60,48,42,0.78,0.57,0.81,1,1,1
35,41,49,0.61,0.42,0.64,1,1,1
47,33,57,0.45,0.29,0.48,1,1,1
68,31,59,0.42,0.26,0.44,1,1,1
59,72,18,2.16,1.7,2.22,0,0,0
43,41,49,0.61,0.42,0.64,1,1,1
52,51,39,0.86,0.64,0.9,1,1,1
41,40,50,0.59,0.4,0.61,1,1,1
32,53,37,0.93,0.7,0.96,1,1,1
50,60,30,1.21,0.93,1.25,0,1,0
44,53,37,0.93,0.7,0.96,1,1,1
61,22,68,0.28,0.13,0.3,1,1,1
63,35,55,0.49,0.32,0.51,1,1,1
44,38,52,0.55,0.37,0.57,1,1,1
70,34,56,0.47,0.3,0.5,1,1,1
56,31,59,0.42,0.26,0.44,1,1,1
43,57,33,1.08,0.82,1.11,0,1,0
55,42,48,0.63,0.44,0.66,1,1,1
58,26,64,0.34,0.19,0.36,1,1,1
67,40,50,0.59,0.4,0.61,1,1,1
40,38,52,0.55,0.37,0.57,1,1,1
65,66,24,1.57,1.23,1.62,0,0,0
61,23,67,0.3,0.15,0.32,1,1,1
48,70,20,1.92,1.51,1.98,0,0,0
40,51,39,0.86,0.64,0.9,1,1,1
69,53,37,0.93,0.7,0.96,1,1,1
37,60,30,1.21,0.93,1.25,0,1,0
64,20,70,0.25,0.11,0.28,1,1,1
40,67,23,1.65,1.29,1.7,0,0,0
36,38,52,0.55,0.37,0.57,1,1,1
56,61,29,1.26,0.97,1.3,0,1,0
43,23,67,0.3,0.15,0.32,1,1,1
50,78,12,3.29,2.62,3.39,0,0,0
60,33,57,0.45,0.29,0.48,1,1,1
44,26,64,0.34,0.19,0.36,1,1,1
44,32,58,0.44,0.27,0.46,1,1,1
48,46,44,0.73,0.52,0.75,1,1,1
57,72,18,2.16,1.7,2.22,0,0,0
41,42,48,0.63,0.44,0.66,1,1,1
41,52,38,0.9,0.67,0.93,1,1,1
47,61,29,1.26,0.97,1.3,0,1,0
41,63,27,1.37,1.07,1.42,0,0,0
39,61,29,1.26,0.97,1.3,0,1,0
58,52,38,0.9,0.67,0.93,1,1,1
56,41,49,0.61,0.42,0.64,1,1,1
55,72,18,2.16,1.7,2.22,0,0,0
51,46,44,0.73,0.52,0.75,1,1,1
44,38,52,0.55,0.37,0.57,1,1,1
57,38,52,0.55,0.37,0.57,1,1,1
50,46,44,0.73,0.52,0.75,1,1,1
69,35,55,0.49,0.32,0.51,1,1,1
46,67,23,1.65,1.29,1.7,0,0,0
60,25,65,0.33,0.17,0.35,1,1,1
57,42,48,0.63,0.44,0.66,1,1,1
52,48,42,0.78,0.57,0.81,1,1,1
63,22,68,0.28,0.13,0.3,1,1,1
58,34,56,0.47,0.3,0.5,1,1,1
67,47,43,0.75,0.55,0.78,1,1,1
59,81,9,4.42,3.53,4.55,0,0,0
68,55,35,1.0,0.76,1.03,1,1,0
37,51,39,0.86,0.64,0.9,1,1,1
53,37,53,0.53,0.35,0.55,1,1,1
66,54,36,0.96,0.73,1.0,1,1,1
64,35,55,0.49,0.32,0.51,1,1,1
47,24,66,0.31,0.16,0.33,1,1,1
56,36,54,0.51,0.34,0.53,1,1,1
33,50,40,0.83,0.62,0.87,1,1,1
71,24,66,0.31,0.16,0.33,1,1,1
44,57,33,1.08,0.82,1.11,0,1,0
41,61,29,1.26,0.97,1.3,0,1,0
39,35,55,0.49,0.32,0.51,1,1,1
62,66,24,1.57,1.23,1.62,0,0,0
50,31,59,0.42,0.26,0.44,1,1,1
63,19,71,0.24,0.09,0.26,1,1,1
35,54,36,0.96,0.73,1.0,1,1,1
58,62,28,1.32,1.02,1.36,0,0,0
56,50,40,0.83,0.62,0.87,1,1,1
59,65,25,1.5,1.17,1.55,0,0,0
