No.	Trend	Plunge	Longitude	Latitude	Elevation	Units	Day	Month	Year	Notes	Label	Strabo Type	Strabo quality
0	38	35	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
1	65	39	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
2	43	46	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
3	13	49	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
4	42	26	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
5	17	57	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
6	46	35	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
7	30	45	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
8	36	49	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
9	21	50	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
10	58	33	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
11	29	39	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
12	48	53	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
13	31	40	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
14	58	37	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
15	56	42	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
16	59	65	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
17	15	60	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
18	45	66	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
19	26	56	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
20	60	53	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
21	3	51	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
22	45	60	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
23	52	28	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
24	30	31	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
25	51	74	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
26	27	66	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
27	15	56	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
28	41	26	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
29	39	53	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
30	53	82	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
31	52	32	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
32	35	44	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
33	67	78	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
34	59	67	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
35	59	50	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
36	60	48	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
37	35	41	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
38	10	65	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
39	47	33	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
40	7	51	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
41	77	69	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
42	59	72	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
43	43	41	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
44	52	51	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
45	41	40	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
46	29	39	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
47	26	28	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
48	32	53	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
49	50	60	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
50	44	53	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
51	28	64	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
52	63	35	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
53	44	38	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
54	26	76	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
55	22	30	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
56	26	43	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
57	56	31	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
58	43	57	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
59	28	54	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
60	55	42	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
61	67	40	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
62	40	38	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
63	28	37	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
64	31	38	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
65	65	66	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
66	17	65	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
67	48	70	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
68	40	51	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
69	4	61	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
70	29	69	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
71	69	53	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
72	37	60	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
73	40	67	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
74	36	38	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
75	56	61	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
76	43	23	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
77	50	78	0	0	0	m	14	2	2024	Calculated from planes data set: Imported Planes			0
