No.	Trend	Plunge	Longitude	Latitude	Elevation	Units	Day	Month	Year	Notes	Label	Strabo Type	Strabo quality
0	47	22	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
1	38	35	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
2	65	39	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
3	43	46	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
4	42	26	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
5	46	35	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
6	36	49	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
7	58	33	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
8	48	53	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
9	39	21	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
10	58	37	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
11	56	42	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
12	59	65	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
13	64	24	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
14	45	66	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
15	60	53	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
16	45	60	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
17	52	28	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
18	51	74	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
19	47	21	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
20	41	26	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
21	39	53	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
22	53	82	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
23	52	32	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
24	35	44	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
25	67	78	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
26	59	67	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
27	59	50	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
28	60	48	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
29	35	41	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
30	47	33	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
31	68	31	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
32	59	72	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
33	43	41	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
34	52	51	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
35	41	40	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
36	32	53	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
37	50	60	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
38	44	53	0	0	0	m	4	3	2024	Calculated from planes data set: Imported Planes			0
