Wavelength	REM49059000001.asd
350	 66.3076476298904 
351	 73.3096800616873 
352	 80.1206069655766 
353	 87.2546088326114 
354	 94.9916031682581 
355	 103.112800943005 
356	 111.332278465039 
357	 120.286208881803 
358	 129.140856681468 
359	 137.478444953054 
360	 145.927168112102 
361	 154.885746431665 
362	 164.079619888157 
363	 172.75505076974 
364	 181.771959552414 
365	 190.199959161101 
366	 197.427037850875 
367	 206.30303143895 
368	 214.828733411896 
369	 222.081796938433 
370	 229.215274199197 
371	 236.127030448054 
372	 242.966419494308 
373	 249.96703568323 
374	 257.324625072898 
375	 264.7088661376 
376	 272.04501848658 
377	 280.752559105914 
378	 289.062620929464 
379	 296.787465830218 
380	 306.003964839988 
381	 316.270553556261 
382	 327.123547750614 
383	 337.971950330501 
384	 348.412009853597 
385	 359.820734888149 
386	 372.763521074192 
387	 383.980632344028 
388	 396.207034795335 
389	 410.413232920452 
390	 425.426984785047 
391	 440.746857004655 
392	 456.687621539947 
393	 473.806757461118 
394	 490.420084323096 
395	 508.427112623436 
396	 529.034864743996 
397	 549.701552133596 
398	 570.436676736894 
399	 591.839605447189 
400	 615.27818719493 
401	 640.267886047478 
402	 666.880090014261 
403	 695.219268188428 
404	 724.141295723274 
405	 753.541666767943 
406	 783.886511064069 
407	 816.995735519363 
408	 850.954797752665 
409	 885.379639371342 
410	 921.857008318868 
411	 960.470082485629 
412	 1000.58948505477 
413	 1041.33162019549 
414	 1084.39292894006 
415	 1129.46302435724 
416	 1175.795743451 
417	 1222.40803999465 
418	 1270.15860495029 
419	 1319.12679244354 
420	 1368.01813072809 
421	 1418.7628918837 
422	 1471.34388404792 
423	 1524.65222719699 
424	 1576.58644138823 
425	 1628.29899109933 
426	 1681.05456628784 
427	 1733.30905771606 
428	 1784.92735200027 
429	 1836.20243544274 
430	 1888.37508530614 
431	 1938.78839863685 
432	 1987.96232661578 
433	 2038.34216714406 
434	 2086.1811271535 
435	 2132.41051618349 
436	 2178.43418007315 
437	 2221.04063566416 
438	 2262.4808925091 
439	 2303.53269790399 
440	 2340.5154271207 
441	 2376.21121638552 
442	 2411.86167624996 
443	 2447.67301794392 
444	 2479.85744995201 
445	 2509.67573908913 
446	 2539.77562268758 
447	 2568.24050014373 
448	 2595.22790536547 
449	 2621.23157337064 
450	 2646.89503856779 
451	 2672.88453968963 
452	 2698.47572518516 
453	 2720.86030758189 
454	 2743.72338051511 
455	 2767.40583151348 
456	 2790.80857503737 
457	 2814.26828085047 
458	 2837.67393977459 
459	 2860.80652077761 
460	 2883.14836212402 
461	 2905.94438790334 
462	 2929.3352353908 
463	 2950.99844096447 
464	 2973.94876505049 
465	 2998.20567506432 
466	 3021.79837675119 
467	 3046.90484450887 
468	 3073.03326019033 
469	 3099.05833316627 
470	 3124.86003883781 
471	 3152.40734880746 
472	 3182.63913763311 
473	 3213.13913504634 
474	 3245.28706647873 
475	 3278.87607946486 
476	 3311.69906915035 
477	 3346.43391127523 
478	 3383.71274034507 
479	 3423.25358309281 
480	 3464.08140466172 
481	 3506.90476995291 
482	 3552.1582212501 
483	 3597.48227047399 
484	 3644.64188353827 
485	 3694.51000697408 
486	 3745.99745683752 
487	 3799.22831374698 
488	 3854.63519676924 
489	 3912.98516284894 
490	 3971.3585579571 
491	 4030.9854247417 
492	 4094.13806656651 
493	 4159.5210765379 
494	 4227.53796751606 
495	 4298.38090524225 
496	 4371.10425973775 
497	 4445.74375793465 
498	 4522.35253330906 
499	 4600.90372718481 
500	 4682.37571660124 
501	 4767.07522819157 
502	 4854.87779495325 
503	 4944.4325968627 
504	 5036.33586889113 
505	 5131.15302801201 
506	 5226.38654051609 
507	 5323.79819627866 
508	 5424.5322428595 
509	 5527.57056963715 
510	 5633.62241068741 
511	 5741.34993709661 
512	 5846.97964121837 
513	 5955.557760993 
514	 6067.64304810383 
515	 6181.98338834498 
516	 6298.02310788181 
517	 6414.66893028394 
518	 6531.62520163441 
519	 6652.32310778899 
520	 6773.1498569954 
521	 6892.77995495748 
522	 7014.92055201737 
523	 7136.13946947622 
524	 7257.13669918517 
525	 7381.75915407105 
526	 7507.58548703704 
527	 7632.93947111385 
528	 7756.88346507286 
529	 7884.17525111274 
530	 8011.90504065917 
531	 8137.79177439144 
532	 8265.34390134132 
533	 8393.77277922626 
534	 8522.75209887728 
535	 8652.97981851949 
536	 8782.80092118834 
537	 8911.66172081865 
538	 9039.66810066402 
539	 9168.70802333393 
540	 9297.32576729228 
541	 9423.51994317762 
542	 9548.71451409607 
543	 9673.70080445013 
544	 9798.49364978603 
545	 9921.40896068797 
546	 10041.1432384913 
547	 10158.0738101142 
548	 10275.0136591668 
549	 10389.916495582 
550	 10502.0345060359 
551	 10611.0873825423 
552	 10716.2107873622 
553	 10819.3270153403 
554	 10922.1047974742 
555	 11020.8379191869 
556	 11116.0034923048 
557	 11208.3840653611 
558	 11298.5518419195 
559	 11386.8347097052 
560	 11472.3215194671 
561	 11552.2847994514 
562	 11631.9038243139 
563	 11710.1946421034 
564	 11783.7480308709 
565	 11858.083427743 
566	 11929.4737320826 
567	 11994.7556264832 
568	 12063.089643473 
